Title,Price,Rating,Image,Product_Type(Ad/Organic)
"Lenovo IdeaPad Slim 3 13th Gen Core i7-13620H 15.3"" (38.8cm) WUXGA IPS Laptop (16GB RAM/1TB SSD/Win 11/Office 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg), 83K100TDIN","83,100",4.6,https://m.media-amazon.com/images/I/71K-77wHn2L._AC_UY218_.jpg,Organic
"HP 15, Intel Core Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)*Office24, Silver, 1.65kg, fd1354TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop","79,990",3.8,https://m.media-amazon.com/images/I/71dyfY6G0aL._AC_UY218_.jpg,Organic
"HP 15 Smartchoice, Intel Core Ultra 5 125H (24GB DDR5, 1TB SSD), Micro-Edge, Anti-Glare, FHD, 15''/39.6cm, Win11, M365* Office24, Silver, 1.65kg, FD1458TU, FHD Camera, Backlit Laptop","84,990",3.7,https://m.media-amazon.com/images/I/71vhdLDaDQL._AC_UY218_.jpg,Ad
"Lenovo Yoga Slim 7, Intel Core Ultra 5 125H, 16GB RAM, 512GB SSD, AI PC, WUXGA-OLED, 14""/35.5cm, Windows 11, Microsoft 365 Basic + Office 2024, Grey, 1.39Kg, 83CV00DFIN, AI Powered Laptop","84,990",4.3,https://m.media-amazon.com/images/I/81PaO9Q1WFL._AC_UY218_.jpg,Ad
"HP Smartchoice Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5060, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, FHD, 15.6""/39.6cm, Win11, M365(1yr)*Office 24, Mica Silver,2.29Kg,fa2308TX, RGB Gaming Laptop","1,25,990",4.5,https://m.media-amazon.com/images/I/71idqUButkL._AC_UY218_.jpg,Ad
"HP Omnibook 5 (Previously Pavilion), AMD Ryzen AI 7 350 (24GB LPDDR5x, 1TB SSD), 2k (1920 x 1200),Touch, Anti-Glare,16''/40.6cm, Win11, M365* Office24, Silver, 1.79kg, ag1087au, BL, Next Gen AI Laptop","98,990",NA,https://m.media-amazon.com/images/I/812Gk34kkML._AC_UY218_.jpg,Ad
"Lenovo Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014HA","21,990",3.9,https://m.media-amazon.com/images/I/61aQ9BYq89L._AC_UY218_.jpg,Organic
"HP 15 Smartchoice, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)*Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop","52,690",4.2,https://m.media-amazon.com/images/I/61ER6I1s9iL._AC_UY218_.jpg,Organic
"Lenovo Yoga Slim 7 Intel Core Ultra 7 155H 14""(35.5cm) WUXGA-OLED 400Nits Laptop (32GB RAM/1TB SSD/AI PC/2Wx4 Speakers/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.39Kg), 83CV00D3IN","1,29,990",4.8,https://m.media-amazon.com/images/I/81xbSMHZ0UL._AC_UY218_.jpg,Organic
"Lenovo LOQ, 13th Gen Intel Core i7 13700HX, RTX 5050-8GB, 16GB RAM, 1TB SSD, FHD, 15.6""/39.6cm, 144Hz, Windows 11, Office 2024, Grey, 2.4Kg, 440 AI Tops, 3 Mon. Game Pass, 83JE00U7IN, AI Gaming Laptop","1,19,900",4.2,https://m.media-amazon.com/images/I/81Iu6HQRSYL._AC_UY218_.jpg,Organic
"ASUS Zenbook 14 (2026),Smartchoice,Intel Core Ultra 9 285H,32GB RAM,1TB SSD,OLED,Touchscreen,14""(35.5 cm),Win 11,M365 Basic(1Y)* Office 24,Foggy Silver,1.28 Kg,UX3405CA-QL1113WS,Thin & Light Laptop","1,24,990",NA,https://m.media-amazon.com/images/I/61tjQ9CkAhL._AC_UY218_.jpg,Organic
"ASUS Gaming V16 (2025) 14th Gen,Intel Core 7 240H Gaming Laptop (RTX 4050-6GB/16GB RAM/512GB SSD/Windows 11 Home/16/144Hz/M365*/Office Home 2024, Matte Black,1.95 Kg),V3607VU-RP275WS","92,990",4.4,https://m.media-amazon.com/images/I/71YeigfZCuL._AC_UY218_.jpg,Organic
"𝗛𝗣𝗲𝗹𝗶𝘁𝗲𝗯𝗼𝗼𝗸Model 440 G3 Business Laptop | InteI i5 6th Gen | 8GB RAM - 256GB SSD | 14"" FHD Display | Ultra Slim Silver Body | Win 10 | A+ Condition (Refab)","24,500",4.0,https://m.media-amazon.com/images/I/61BYfPSEqWL._AC_UY218_.jpg,Organic
"HP 255R G10 Notebook (AMD Athlon Silver 7120U /8GB/512GB/DOS) 15.6-inch(39.6cm), Anti-Glare, HD Laptop, Radeon Graphics, Silver,1.52kg","40,550",NA,https://m.media-amazon.com/images/I/71rDlgf2Q6L._AC_UY218_.jpg,Organic
"HP OmniBook X Flip OLED (Previously Envy) Intel Core Ultra 5 226V, 40 Tops(16GB LPDDR5X,512GB SSD) 3K, Touch, 120hz,14''/35.6cm, Win11, Office24, Meteor Silver,1.38kg, fm0058TU,Pen, Next Gen AI Laptop","1,11,990",3.8,https://m.media-amazon.com/images/I/71N04uIPZDL._AC_UY218_.jpg,Ad
